,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Menos de 200,26,3,8,12,13,15,11,2,19,5,1,61,49
200 - 249,318,405,338,396,521,606,581,353,567,454,441,528,413
250 - 299,2.51,2.828,2.453,3.016,3.485,3.846,4.229,3.564,3.252,3.773,3.536,3.138,2.842
300 - 349,8.977,8.946,9.114,10.821,12.008,12.757,13.11,12.251,11.186,11.486,11.579,11.82,11.318
350 - 399,17.218,17.282,18.557,22.359,21.841,24.955,25.702,26.064,24.656,24.469,23.522,26.144,26.25
400 - 449,23.352,24.913,27.104,32.587,32.317,36.132,38.103,39.192,35.841,35.356,35.476,39.436,41.885
450 - 499,25.737,30.349,31.409,37.507,38.905,43.656,45.269,46.107,41.773,41.896,43.344,44.21,46.16
500 - 549,24.667,30.674,31.43,37.5,38.568,42.874,44.413,43.937,40.74,41.61,41.154,42.959,44.016
550 - 599,21.223,24.851,25.723,30.2,31.342,35.143,35.894,35.365,32.597,33.5,33.541,36.586,36.149
600 - 649,15.635,16.108,16.779,20.392,20.874,23.042,24.369,24.03,22.165,22.556,22.24,23.808,24.207
650 - 699,8.755,8.516,8.334,10.784,11.074,12.311,12.33,12.29,12.065,11.794,11.916,12.092,12.456
700 - 749,3.445,3.255,3.611,4.259,4.348,5.192,5.445,5.275,4.748,4.915,4.621,4.879,5.094
750 - 799,1.37,1.046,1.224,1.222,1.348,1.409,1.855,1.929,1.359,1.325,1.278,1.435,1.372
800 - 849,150,200,230,206,248,192,323,399,204,147,207,193,115
,,,,,,,,,,,,,
ano,,,,,,,,,,,,,
2004,,,,,,,,,,,,,
2005,,,,,,,,,,,,,
2006,,,,,,,,,,,,,
2007,,,,,,,,,,,,,
2008,,,,,,,,,,,,,
2009,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
